Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
16;40;45;20.000;Awful;;;
17;60;50;20.000;Awful;;;
18;40;50;20.000;Awful;;;
19;40;40;20.000;Awful;;;
20;60;50;20.000;Awful;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;70;70;4.180;Low;;;
2;80;75;4.264;Low;;;
3;80;80;4.349;Low;;;
4;80;80;4.436;Low;;;
5;80;80;4.525;Low;;;
6;60;70;4.887;Low;;;
7;100;80;4.887;Low;;;
8;90;95;4.935;Low;;;
9;90;90;4.985;Low;;;
10;110;100;4.935;Low;;;
11;70;90;5.157;Low;;;
12;100;85;5.157;Low;;;
13;90;95;5.209;Low;;;
14;90;90;5.261;Low;;;
15;90;90;5.313;Low;;;
16;80;85;5.420;Low;;;
17;80;80;5.528;Low;;;
18;80;80;5.638;Low;;;
19;90;85;5.695;Low;;;
20;90;90;5.752;Low;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;90;90;4.040;Average;;;
2;110;100;4.000;Average;;;
3;100;105;4.000;Average;;;
4;110;105;3.960;Average;;;
5;110;110;3.920;Average;;;
6;120;115;3.842;Average;;;
7;120;120;3.765;Average;;;
8;120;120;3.689;Average;;;
9;130;125;3.523;Average;;;
10;100;115;3.523;Average;;;
11;100;100;3.523;Average;;;
12;110;105;3.488;Average;;;
13;110;110;3.453;Average;;;
14;110;110;3.419;Average;;;
15;90;100;3.453;Average;;;
16;120;105;3.384;Average;;;
17;110;115;3.350;Average;;;
18;120;115;3.283;Average;;;
19;100;110;3.283;Average;;;
20;110;105;3.250;Average;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;130;130;3.820;High;;;
2;130;130;3.648;High;;;
3;140;135;3.356;High;;;
4;130;135;3.205;High;;;
5;120;125;3.141;High;;;
6;150;135;2.748;High;;;
7;150;150;2.405;High;;;
8;120;135;2.357;High;;;
9;120;120;2.310;High;;;
10;110;115;2.287;High;;;
11;110;110;2.264;High;;;
12;120;115;2.218;High;;;
13;110;115;2.196;High;;;
14;100;105;2.196;High;;;
15;110;105;2.174;High;;;
16;120;115;2.131;High;;;
17;110;115;2.110;High;;;
18;120;115;2.067;High;;;
19;110;115;2.047;High;;;
20;130;120;1.955;High;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;180;180;2.720;Expert;;;
2;160;170;2.230;Expert;;;
3;150;155;1.952;Expert;;;
4;120;135;1.913;Expert;;;
5;150;135;1.673;Expert;;;
6;130;140;1.598;Expert;;;
7;110;120;1.582;Expert;;;
8;120;115;1.551;Expert;;;
9;90;105;1.566;Expert;;;
10;130;110;1.496;Expert;;;
11;100;115;1.496;Expert;;;
12;110;105;1.481;Expert;;;
13;100;105;1.481;Expert;;;
14;130;115;1.414;Expert;;;
15;100;115;1.414;Expert;;;
16;100;100;1.414;Expert;;;
17;100;100;1.414;Expert;;;
18;110;105;1.400;Expert;;;
19;110;110;1.386;Expert;;;
20;120;115;1.358;Expert;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;30;30;5.260;Awful;;;
2;30;0;6.917;Awful;;;
3;30;5;9.096;Awful;;;
4;30;30;11.961;Awful;;;
5;40;30;14.831;Awful;;;
6;50;20;17.427;Awful;;;
7;50;35;20.000;Awful;;;
8;60;40;20.000;Awful;;;
9;50;40;20.000;Awful;;;
10;50;35;20.000;Awful;;;
11;50;35;20.000;Awful;;;
12;50;40;20.000;Awful;;;
13;60;35;20.000;Awful;;;
14;50;35;20.000;Awful;;;
15;50;50;20.000;Awful;;;
16;60;55;20.000;Awful;;;
17;60;40;20.000;Awful;;;
18;50;45;20.000;Awful;;;
19;50;55;20.000;Awful;;;
20;50;50;20.000;Awful;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;50;50;4.700;Low;;;
2;70;90;5.053;Low;;;
3;70;90;5.431;Low;;;
4;100;80;5.431;Low;;;
5;110;80;5.323;Low;;;
6;80;85;5.536;Low;;;
7;90;85;5.646;Low;;;
8;90;85;5.759;Low;;;
9;90;85;5.875;Low;;;
10;90;85;5.992;Low;;;
11;100;80;5.992;Low;;;
12;90;75;6.112;Low;;;
13;100;90;6.112;Low;;;
14;110;90;5.990;Low;;;
15;100;85;5.990;Low;;;
16;90;90;6.109;Low;;;
17;100;95;6.109;Low;;;
18;110;95;5.987;Low;;;
19;100;95;6.436;Low;;;
20;110;85;6.308;Low;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;90;90;4.080;Average;;;
2;120;85;3.917;Average;;;
3;110;90;3.838;Average;;;
4;90;105;3.915;Average;;;
5;110;115;3.837;Average;;;
6;130;115;3.549;Average;;;
7;110;110;3.478;Average;;;
8;110;120;3.409;Average;;;
9;110;120;3.340;Average;;;
10;90;110;3.407;Average;;;
11;110;110;3.339;Average;;;
12;100;105;3.339;Average;;;
13;130;100;3.089;Average;;;
14;80;105;3.212;Average;;;
15;120;105;3.084;Average;;;
16;120;110;2.960;Average;;;
17;90;120;3.020;Average;;;
18;90;125;3.080;Average;;;
19;80;115;3.203;Average;;;
20;100;95;3.203;Average;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;140;140;3.520;High;;;
2;100;140;3.520;High;;;
3;120;140;3.379;High;;;
4;140;140;2.974;High;;;
5;140;140;2.617;High;;;
6;110;125;2.565;High;;;
7;130;140;2.372;High;;;
8;140;155;2.088;High;;;
9;120;140;2.004;High;;;
10;100;130;2.004;High;;;
11;120;135;1.924;High;;;
12;110;135;1.885;High;;;
13;110;125;1.848;High;;;
14;100;115;1.848;High;;;
15;100;120;1.848;High;;;
16;100;125;1.848;High;;;
17;100;115;1.848;High;;;
18;100;115;1.848;High;;;
19;100;120;1.848;High;;;
20;120;115;1.774;High;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;170;170;2.740;Expert;;;
2;160;160;2.082;Expert;;;
3;170;175;1.426;Expert;;;
4;100;190;1.426;Expert;;;
5;120;190;1.369;Expert;;;
6;110;180;1.342;Expert;;;
7;100;185;1.342;Expert;;;
8;120;180;1.288;Expert;;;
9;110;170;1.263;Expert;;;
10;100;160;1.263;Expert;;;
11;100;155;1.263;Expert;;;
12;110;150;1.237;Expert;;;
13;100;130;1.237;Expert;;;
14;100;130;1.237;Expert;;;
15;100;145;1.237;Expert;;;
16;110;130;1.213;Expert;;;
17;100;110;1.213;Expert;;;
18;100;115;1.213;Expert;;;
19;100;115;1.213;Expert;;;
20;100;105;1.213;Expert;;;
