Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;Awful;Low;Average;High;Expert
10;80;70;7.371;Low;;;;;;
11;60;70;7.960;Low;;;;;;
12;80;70;8.120;Low;;;;;;
13;90;85;8.201;Low;;;;;;
14;90;90;8.283;Low;;;;;;
15;80;85;8.448;Low;;;;;;
16;70;75;8.829;Low;;;;;;
17;80;75;9.005;Low;;;;;;
18;90;85;9.095;Low;;;;;;
19;90;90;9.186;Low;;;;;;
20;80;85;9.370;Low;;;;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;;;;
1;100;100;4.000;Average;;;;;;
2;80;90;4.080;Average;;;;;;
3;90;85;4.121;Average;;;;;;
4;90;90;4.162;Average;;;;;;
5;90;90;4.204;Average;;;;;;
6;90;90;4.246;Average;;;;;;
7;90;90;4.288;Average;;;;;;
8;90;90;4.331;Average;;;;;;
9;100;95;4.331;Average;;;;;;
10;100;100;4.331;Average;;;;;;
11;100;100;4.331;Average;;;;;;
12;100;100;4.331;Average;;;;;;
13;100;100;4.331;Average;;;;;;
14;100;100;4.331;Average;;;;;;
15;100;100;4.331;Average;;;;;;
16;120;110;4.244;Average;;;;;;
17;80;100;4.329;Average;;;;;;
18;90;85;4.373;Average;;;;;;
19;100;95;4.373;Average;;;;;;
20;90;95;4.416;Average;;;;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;;;;
1;130;130;3.820;High;;;;;;
2;130;130;3.648;High;;;;;;
3;130;130;3.484;High;;;;;;
4;110;120;3.449;High;;;;;;
5;130;120;3.294;High;;;;;;
6;110;120;3.261;High;;;;;;
7;110;110;3.228;High;;;;;;
8;140;125;2.970;High;;;;;;
9;130;135;2.836;High;;;;;;
10;160;145;2.326;High;;;;;;
11;130;145;2.221;High;;;;;;
12;140;135;2.044;High;;;;;;
13;100;120;2.044;High;;;;;;
14;120;110;2.003;High;;;;;;
15;100;110;2.003;High;;;;;;
16;110;105;1.983;High;;;;;;
17;100;105;1.983;High;;;;;;
18;100;100;1.983;High;;;;;;
19;110;105;1.963;High;;;;;;
20;110;110;1.943;High;;;;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;;;;
1;180;180;2.720;Expert;;;;;;
2;190;185;1.618;Expert;;;;;;
3;130;160;1.546;Expert;;;;;;
4;120;125;1.515;Expert;;;;;;
5;100;110;1.515;Expert;;;;;;
6;100;100;1.515;Expert;;;;;;
7;140;120;1.393;Expert;;;;;;
8;100;120;1.393;Expert;;;;;;
9;110;105;1.380;Expert;;;;;;
10;110;110;1.366;Expert;;;;;;
11;110;110;1.352;Expert;;;;;;
12;100;105;1.352;Expert;;;;;;
13;100;100;1.352;Expert;;;;;;
14;100;100;1.352;Expert;;;;;;
15;90;95;1.366;Expert;;;;;;
16;100;95;1.366;Expert;;;;;;
17;100;100;1.366;Expert;;;;;;
18;100;100;1.366;Expert;;;;;;
19;110;105;1.352;Expert;;;;;;
20;100;105;1.352;Expert;;;;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;;;;
1;10;10;5.620;Awful;;;;;;
2;10;10;7.896;Awful;;;;;;
3;20;15;10.423;Awful;;;;;;
4;30;25;12.976;Awful;;;;;;
5;50;40;14.599;Awful;;;;;;
6;40;45;17.226;Awful;;;;;;
7;60;50;18.604;Awful;;;;;;
8;40;50;20.000;Awful;;;;;;
9;50;45;20.000;Awful;;;;;;
10;40;45;20.000;Awful;;;;;;
11;40;40;20.000;Awful;;;;;;
12;50;45;20.000;Awful;;;;;;
13;40;45;20.000;Awful;;;;;;
14;50;45;20.000;Awful;;;;;;
15;40;45;20.000;Awful;;;;;;
16;60;50;20.000;Awful;;;;;;
17;40;50;20.000;Awful;;;;;;
18;60;50;20.000;Awful;;;;;;
19;60;60;20.000;Awful;;;;;;
20;30;45;20.000;Awful;;;;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;;;;
1;40;40;4.720;Low;;;;;;
2;60;50;5.098;Low;;;;;;
3;60;60;5.505;Low;;;;;;
4;70;65;5.753;Low;;;;;;
5;60;65;6.213;Low;;;;;;
6;60;60;6.710;Low;;;;;;
7;80;70;6.845;Low;;;;;;
8;70;75;7.153;Low;;;;;;
9;80;75;7.296;Low;;;;;;
10;70;75;7.624;Low;;;;;;
11;80;75;7.777;Low;;;;;;
12;70;75;8.126;Low;;;;;;
13;80;75;8.289;Low;;;;;;
14;80;80;8.455;Low;;;;;;
15;60;70;9.131;Low;;;;;;
16;80;70;9.314;Low;;;;;;
17;60;70;10.059;Low;;;;;;
18;60;60;10.864;Low;;;;;;
19;90;75;10.972;Low;;;;;;
20;80;85;11.192;Low;;;;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;;;;
1;80;80;4.080;Average;;;;;;
2;90;85;4.121;Average;;;;;;
3;110;100;4.080;Average;;;;;;
4;90;100;4.120;Average;;;;;;
5;90;90;4.162;Average;;;;;;
6;110;100;4.120;Average;;;;;;
7;90;100;4.161;Average;;;;;;
8;100;95;4.161;Average;;;;;;
9;110;105;4.120;Average;;;;;;
10;100;105;4.120;Average;;;;;;
11;100;100;4.120;Average;;;;;;
12;100;100;4.120;Average;;;;;;
13;110;105;4.078;Average;;;;;;
14;100;105;4.078;Average;;;;;;
15;100;100;4.078;Average;;;;;;
16;90;95;4.119;Average;;;;;;
17;90;90;4.160;Average;;;;;;
18;100;95;4.160;Average;;;;;;
19;100;100;4.160;Average;;;;;;
20;90;95;4.202;Average;;;;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;;;;
1;130;130;3.820;High;;;;;;
2;110;120;3.782;High;;;;;;
3;130;120;3.612;High;;;;;;
4;120;125;3.539;High;;;;;;
5;150;135;3.097;High;;;;;;
6;130;140;2.958;High;;;;;;
7;110;120;2.928;High;;;;;;
8;110;110;2.899;High;;;;;;
9;120;115;2.841;High;;;;;;
10;130;125;2.713;High;;;;;;
11;120;125;2.659;High;;;;;;
12;130;125;2.539;High;;;;;;
13;120;125;2.488;High;;;;;;
14;110;115;2.463;High;;;;;;
15;130;120;2.353;High;;;;;;
16;140;135;2.164;High;;;;;;
17;120;130;2.121;High;;;;;;
18;100;110;2.121;High;;;;;;
19;130;115;2.026;High;;;;;;
20;110;120;2.005;High;;;;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;;;;
1;160;160;3.280;Expert;;;;;;
2;140;150;3.018;Expert;;;;;;
3;170;155;2.278;Expert;;;;;;
4;180;175;1.549;Expert;;;;;;
5;100;140;1.549;Expert;;;;;;
6;100;100;1.549;Expert;;;;;;
7;140;120;1.425;Expert;;;;;;
8;110;125;1.411;Expert;;;;;;
9;100;105;1.411;Expert;;;;;;
10;110;105;1.397;Expert;;;;;;
11;110;110;1.383;Expert;;;;;;
12;100;105;1.383;Expert;;;;;;
13;100;100;1.383;Expert;;;;;;
14;100;100;1.383;Expert;;;;;;
15;100;100;1.383;Expert;;;;;;
16;100;100;1.383;Expert;;;;;;
17;100;100;1.383;Expert;;;;;;
18;100;100;1.383;Expert;;;;;;
19;100;100;1.383;Expert;;;;;;
20;100;100;1.383;Expert;;;;;;
