Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
15;100;=AVERAGE($B$12993:$B$12994);4.393;Average;ScalarPlusMultiplier
16;110;=AVERAGE($B$12994:$B$12995);4.349;Average;ScalarPlusMultiplier
17;90;=AVERAGE($B$12995:$B$12996);4.392;Average;ScalarPlusMultiplier
18;110;=AVERAGE($B$12996:$B$12997);4.348;Average;ScalarPlusMultiplier
19;100;=AVERAGE($B$12997:$B$12998);4.348;Average;ScalarPlusMultiplier
20;110;=AVERAGE($B$12998:$B$12999);4.305;Average;ScalarPlusMultiplier
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;90;90;4.040;Average;ScalarPlusMultiplier
2;90;=AVERAGE($B$13001:$B$13002);4.080;Average;ScalarPlusMultiplier
3;100;=AVERAGE($B$13002:$B$13003);4.080;Average;ScalarPlusMultiplier
4;100;=AVERAGE($B$13003:$B$13004);4.080;Average;ScalarPlusMultiplier
5;100;=AVERAGE($B$13004:$B$13005);4.080;Average;ScalarPlusMultiplier
6;100;=AVERAGE($B$13005:$B$13006);4.080;Average;ScalarPlusMultiplier
7;100;=AVERAGE($B$13006:$B$13007);4.080;Average;ScalarPlusMultiplier
8;90;=AVERAGE($B$13007:$B$13008);4.121;Average;ScalarPlusMultiplier
9;100;=AVERAGE($B$13008:$B$13009);4.121;Average;ScalarPlusMultiplier
10;100;=AVERAGE($B$13009:$B$13010);4.121;Average;ScalarPlusMultiplier
11;90;=AVERAGE($B$13010:$B$13011);4.162;Average;ScalarPlusMultiplier
12;90;=AVERAGE($B$13011:$B$13012);4.204;Average;ScalarPlusMultiplier
13;90;=AVERAGE($B$13012:$B$13013);4.246;Average;ScalarPlusMultiplier
14;100;=AVERAGE($B$13013:$B$13014);4.246;Average;ScalarPlusMultiplier
15;100;=AVERAGE($B$13014:$B$13015);4.246;Average;ScalarPlusMultiplier
16;90;=AVERAGE($B$13015:$B$13016);4.289;Average;ScalarPlusMultiplier
17;90;=AVERAGE($B$13016:$B$13017);4.331;Average;ScalarPlusMultiplier
18;100;=AVERAGE($B$13017:$B$13018);4.331;Average;ScalarPlusMultiplier
19;90;=AVERAGE($B$13018:$B$13019);4.375;Average;ScalarPlusMultiplier
20;110;=AVERAGE($B$13019:$B$13020);4.331;Average;ScalarPlusMultiplier
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;80;80;4.080;Average;ScalarPlusMultiplier
2;100;=AVERAGE($B$13022:$B$13023);4.080;Average;ScalarPlusMultiplier
3;100;=AVERAGE($B$13023:$B$13024);4.080;Average;ScalarPlusMultiplier
4;100;=AVERAGE($B$13024:$B$13025);4.080;Average;ScalarPlusMultiplier
5;80;=AVERAGE($B$13025:$B$13026);4.162;Average;ScalarPlusMultiplier
6;100;=AVERAGE($B$13026:$B$13027);4.162;Average;ScalarPlusMultiplier
7;70;=AVERAGE($B$13027:$B$13028);4.349;Average;ScalarPlusMultiplier
8;100;=AVERAGE($B$13028:$B$13029);4.349;Average;ScalarPlusMultiplier
9;90;=AVERAGE($B$13029:$B$13030);4.392;Average;ScalarPlusMultiplier
10;100;=AVERAGE($B$13030:$B$13031);4.392;Average;ScalarPlusMultiplier
11;90;=AVERAGE($B$13031:$B$13032);4.436;Average;ScalarPlusMultiplier
12;90;=AVERAGE($B$13032:$B$13033);4.481;Average;ScalarPlusMultiplier
13;100;=AVERAGE($B$13033:$B$13034);4.481;Average;ScalarPlusMultiplier
14;90;=AVERAGE($B$13034:$B$13035);4.525;Average;ScalarPlusMultiplier
15;100;=AVERAGE($B$13035:$B$13036);4.525;Average;ScalarPlusMultiplier
16;120;=AVERAGE($B$13036:$B$13037);4.435;Average;ScalarPlusMultiplier
17;100;=AVERAGE($B$13037:$B$13038);4.435;Average;ScalarPlusMultiplier
18;110;=AVERAGE($B$13038:$B$13039);4.391;Average;ScalarPlusMultiplier
19;100;=AVERAGE($B$13039:$B$13040);4.391;Average;ScalarPlusMultiplier
20;110;=AVERAGE($B$13040:$B$13041);4.347;Average;ScalarPlusMultiplier
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;80;80;4.080;Average;ScalarPlusMultiplier
2;90;=AVERAGE($B$13043:$B$13044);4.121;Average;ScalarPlusMultiplier
3;110;=AVERAGE($B$13044:$B$13045);4.080;Average;ScalarPlusMultiplier
4;80;=AVERAGE($B$13045:$B$13046);4.161;Average;ScalarPlusMultiplier
5;90;=AVERAGE($B$13046:$B$13047);4.203;Average;ScalarPlusMultiplier
6;100;=AVERAGE($B$13047:$B$13048);4.203;Average;ScalarPlusMultiplier
7;110;=AVERAGE($B$13048:$B$13049);4.161;Average;ScalarPlusMultiplier
8;100;=AVERAGE($B$13049:$B$13050);4.161;Average;ScalarPlusMultiplier
9;90;=AVERAGE($B$13050:$B$13051);4.202;Average;ScalarPlusMultiplier
10;110;=AVERAGE($B$13051:$B$13052);4.160;Average;ScalarPlusMultiplier
11;100;=AVERAGE($B$13052:$B$13053);4.160;Average;ScalarPlusMultiplier
12;80;=AVERAGE($B$13053:$B$13054);4.244;Average;ScalarPlusMultiplier
13;100;=AVERAGE($B$13054:$B$13055);4.244;Average;ScalarPlusMultiplier
14;110;=AVERAGE($B$13055:$B$13056);4.201;Average;ScalarPlusMultiplier
15;100;=AVERAGE($B$13056:$B$13057);4.201;Average;ScalarPlusMultiplier
16;90;=AVERAGE($B$13057:$B$13058);4.243;Average;ScalarPlusMultiplier
17;100;=AVERAGE($B$13058:$B$13059);4.243;Average;ScalarPlusMultiplier
18;110;=AVERAGE($B$13059:$B$13060);4.201;Average;ScalarPlusMultiplier
19;100;=AVERAGE($B$13060:$B$13061);4.201;Average;ScalarPlusMultiplier
20;90;=AVERAGE($B$13061:$B$13062);4.243;Average;ScalarPlusMultiplier
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;100;100;4.000;Average;ScalarPlusMultiplier
2;110;=AVERAGE($B$13064:$B$13065);3.960;Average;ScalarPlusMultiplier
3;90;=AVERAGE($B$13065:$B$13066);4.000;Average;ScalarPlusMultiplier
4;100;=AVERAGE($B$13066:$B$13067);4.000;Average;ScalarPlusMultiplier
5;90;=AVERAGE($B$13067:$B$13068);4.040;Average;ScalarPlusMultiplier
6;90;=AVERAGE($B$13068:$B$13069);4.080;Average;ScalarPlusMultiplier
7;80;=AVERAGE($B$13069:$B$13070);4.162;Average;ScalarPlusMultiplier
8;90;=AVERAGE($B$13070:$B$13071);4.203;Average;ScalarPlusMultiplier
9;110;=AVERAGE($B$13071:$B$13072);4.161;Average;ScalarPlusMultiplier
10;100;=AVERAGE($B$13072:$B$13073);4.161;Average;ScalarPlusMultiplier
11;100;=AVERAGE($B$13073:$B$13074);4.161;Average;ScalarPlusMultiplier
12;100;=AVERAGE($B$13074:$B$13075);4.161;Average;ScalarPlusMultiplier
13;90;=AVERAGE($B$13075:$B$13076);4.203;Average;ScalarPlusMultiplier
14;100;=AVERAGE($B$13076:$B$13077);4.203;Average;ScalarPlusMultiplier
15;110;=AVERAGE($B$13077:$B$13078);4.161;Average;ScalarPlusMultiplier
16;100;=AVERAGE($B$13078:$B$13079);4.161;Average;ScalarPlusMultiplier
17;90;=AVERAGE($B$13079:$B$13080);4.202;Average;ScalarPlusMultiplier
18;90;=AVERAGE($B$13080:$B$13081);4.244;Average;ScalarPlusMultiplier
19;80;=AVERAGE($B$13081:$B$13082);4.329;Average;ScalarPlusMultiplier
20;90;=AVERAGE($B$13082:$B$13083);4.373;Average;ScalarPlusMultiplier
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;100;100;4.000;Average;ScalarPlusMultiplier
2;90;=AVERAGE($B$13085:$B$13086);4.040;Average;ScalarPlusMultiplier
3;100;=AVERAGE($B$13086:$B$13087);4.040;Average;ScalarPlusMultiplier
4;100;=AVERAGE($B$13087:$B$13088);4.040;Average;ScalarPlusMultiplier
5;80;=AVERAGE($B$13088:$B$13089);4.121;Average;ScalarPlusMultiplier
6;90;=AVERAGE($B$13089:$B$13090);4.162;Average;ScalarPlusMultiplier
7;100;=AVERAGE($B$13090:$B$13091);4.162;Average;ScalarPlusMultiplier
8;100;=AVERAGE($B$13091:$B$13092);4.162;Average;ScalarPlusMultiplier
9;90;=AVERAGE($B$13092:$B$13093);4.204;Average;ScalarPlusMultiplier
10;100;=AVERAGE($B$13093:$B$13094);4.204;Average;ScalarPlusMultiplier
11;110;=AVERAGE($B$13094:$B$13095);4.162;Average;ScalarPlusMultiplier
12;110;=AVERAGE($B$13095:$B$13096);4.120;Average;ScalarPlusMultiplier
13;120;=AVERAGE($B$13096:$B$13097);4.038;Average;ScalarPlusMultiplier
14;100;=AVERAGE($B$13097:$B$13098);4.038;Average;ScalarPlusMultiplier
15;110;=AVERAGE($B$13098:$B$13099);3.997;Average;ScalarPlusMultiplier
16;100;=AVERAGE($B$13099:$B$13100);3.997;Average;ScalarPlusMultiplier
17;90;=AVERAGE($B$13100:$B$13101);4.037;Average;ScalarPlusMultiplier
18;110;=AVERAGE($B$13101:$B$13102);3.997;Average;ScalarPlusMultiplier
19;100;=AVERAGE($B$13102:$B$13103);3.997;Average;ScalarPlusMultiplier
20;110;=AVERAGE($B$13103:$B$13104);3.957;Average;ScalarPlusMultiplier
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;90;90;4.040;Average;ScalarPlusMultiplier
2;100;=AVERAGE($B$13106:$B$13107);4.040;Average;ScalarPlusMultiplier
3;100;=AVERAGE($B$13107:$B$13108);4.040;Average;ScalarPlusMultiplier
4;100;=AVERAGE($B$13108:$B$13109);4.040;Average;ScalarPlusMultiplier
5;100;=AVERAGE($B$13109:$B$13110);4.040;Average;ScalarPlusMultiplier
6;100;=AVERAGE($B$13110:$B$13111);4.040;Average;ScalarPlusMultiplier
7;90;=AVERAGE($B$13111:$B$13112);4.080;Average;ScalarPlusMultiplier
8;90;=AVERAGE($B$13112:$B$13113);4.121;Average;ScalarPlusMultiplier
9;100;=AVERAGE($B$13113:$B$13114);4.121;Average;ScalarPlusMultiplier
10;100;=AVERAGE($B$13114:$B$13115);4.121;Average;ScalarPlusMultiplier
11;120;=AVERAGE($B$13115:$B$13116);4.039;Average;ScalarPlusMultiplier
12;100;=AVERAGE($B$13116:$B$13117);4.039;Average;ScalarPlusMultiplier
13;90;=AVERAGE($B$13117:$B$13118);4.079;Average;ScalarPlusMultiplier
14;80;=AVERAGE($B$13118:$B$13119);4.161;Average;ScalarPlusMultiplier
15;110;=AVERAGE($B$13119:$B$13120);4.119;Average;ScalarPlusMultiplier
16;110;=AVERAGE($B$13120:$B$13121);4.078;Average;ScalarPlusMultiplier
17;100;=AVERAGE($B$13121:$B$13122);4.078;Average;ScalarPlusMultiplier
18;100;=AVERAGE($B$13122:$B$13123);4.078;Average;ScalarPlusMultiplier
19;90;=AVERAGE($B$13123:$B$13124);4.119;Average;ScalarPlusMultiplier
20;110;=AVERAGE($B$13124:$B$13125);4.078;Average;ScalarPlusMultiplier
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;70;70;4.180;Average;ScalarPlusMultiplier
2;80;=AVERAGE($B$13127:$B$13128);4.264;Average;ScalarPlusMultiplier
3;80;=AVERAGE($B$13128:$B$13129);4.349;Average;ScalarPlusMultiplier
4;100;=AVERAGE($B$13129:$B$13130);4.349;Average;ScalarPlusMultiplier
5;100;=AVERAGE($B$13130:$B$13131);4.349;Average;ScalarPlusMultiplier
6;100;=AVERAGE($B$13131:$B$13132);4.349;Average;ScalarPlusMultiplier
7;100;=AVERAGE($B$13132:$B$13133);4.349;Average;ScalarPlusMultiplier
8;110;=AVERAGE($B$13133:$B$13134);4.305;Average;ScalarPlusMultiplier
9;100;=AVERAGE($B$13134:$B$13135);4.305;Average;ScalarPlusMultiplier
10;80;=AVERAGE($B$13135:$B$13136);4.391;Average;ScalarPlusMultiplier
11;110;=AVERAGE($B$13136:$B$13137);4.348;Average;ScalarPlusMultiplier
12;110;=AVERAGE($B$13137:$B$13138);4.304;Average;ScalarPlusMultiplier
13;120;=AVERAGE($B$13138:$B$13139);4.218;Average;ScalarPlusMultiplier
14;110;=AVERAGE($B$13139:$B$13140);4.176;Average;ScalarPlusMultiplier
15;100;=AVERAGE($B$13140:$B$13141);4.176;Average;ScalarPlusMultiplier
16;110;=AVERAGE($B$13141:$B$13142);4.134;Average;ScalarPlusMultiplier
17;100;=AVERAGE($B$13142:$B$13143);4.134;Average;ScalarPlusMultiplier
18;110;=AVERAGE($B$13143:$B$13144);4.093;Average;ScalarPlusMultiplier
19;100;=AVERAGE($B$13144:$B$13145);4.093;Average;ScalarPlusMultiplier
20;110;=AVERAGE($B$13145:$B$13146);4.052;Average;ScalarPlusMultiplier
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;80;80;4.080;Average;ScalarPlusMultiplier
2;90;=AVERAGE($B$13148:$B$13149);4.121;Average;ScalarPlusMultiplier
3;90;=AVERAGE($B$13149:$B$13150);4.162;Average;ScalarPlusMultiplier
4;80;=AVERAGE($B$13150:$B$13151);4.245;Average;ScalarPlusMultiplier
5;90;=AVERAGE($B$13151:$B$13152);4.288;Average;ScalarPlusMultiplier
6;90;=AVERAGE($B$13152:$B$13153);4.331;Average;ScalarPlusMultiplier
7;100;=AVERAGE($B$13153:$B$13154);4.331;Average;ScalarPlusMultiplier
8;110;=AVERAGE($B$13154:$B$13155);4.287;Average;ScalarPlusMultiplier
9;100;=AVERAGE($B$13155:$B$13156);4.287;Average;ScalarPlusMultiplier
10;110;=AVERAGE($B$13156:$B$13157);4.244;Average;ScalarPlusMultiplier
11;100;=AVERAGE($B$13157:$B$13158);4.244;Average;ScalarPlusMultiplier
12;100;=AVERAGE($B$13158:$B$13159);4.244;Average;ScalarPlusMultiplier
13;100;=AVERAGE($B$13159:$B$13160);4.244;Average;ScalarPlusMultiplier
14;90;=AVERAGE($B$13160:$B$13161);4.287;Average;ScalarPlusMultiplier
15;110;=AVERAGE($B$13161:$B$13162);4.244;Average;ScalarPlusMultiplier
16;100;=AVERAGE($B$13162:$B$13163);4.244;Average;ScalarPlusMultiplier
17;100;=AVERAGE($B$13163:$B$13164);4.244;Average;ScalarPlusMultiplier
18;110;=AVERAGE($B$13164:$B$13165);4.202;Average;ScalarPlusMultiplier
19;100;=AVERAGE($B$13165:$B$13166);4.202;Average;ScalarPlusMultiplier
20;100;=AVERAGE($B$13166:$B$13167);4.202;Average;ScalarPlusMultiplier
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;80;80;4.080;Average;ScalarPlusMultiplier
2;100;=AVERAGE($B$13169:$B$13170);4.080;Average;ScalarPlusMultiplier
3;90;=AVERAGE($B$13170:$B$13171);4.121;Average;ScalarPlusMultiplier
4;110;=AVERAGE($B$13171:$B$13172);4.080;Average;ScalarPlusMultiplier
5;100;=AVERAGE($B$13172:$B$13173);4.080;Average;ScalarPlusMultiplier
6;90;=AVERAGE($B$13173:$B$13174);4.120;Average;ScalarPlusMultiplier
7;90;=AVERAGE($B$13174:$B$13175);4.162;Average;ScalarPlusMultiplier
8;100;=AVERAGE($B$13175:$B$13176);4.162;Average;ScalarPlusMultiplier
9;110;=AVERAGE($B$13176:$B$13177);4.120;Average;ScalarPlusMultiplier
10;100;=AVERAGE($B$13177:$B$13178);4.120;Average;ScalarPlusMultiplier
11;100;=AVERAGE($B$13178:$B$13179);4.120;Average;ScalarPlusMultiplier
12;110;=AVERAGE($B$13179:$B$13180);4.079;Average;ScalarPlusMultiplier
13;90;=AVERAGE($B$13180:$B$13181);4.120;Average;ScalarPlusMultiplier
14;100;=AVERAGE($B$13181:$B$13182);4.120;Average;ScalarPlusMultiplier
15;90;=AVERAGE($B$13182:$B$13183);4.161;Average;ScalarPlusMultiplier
16;100;=AVERAGE($B$13183:$B$13184);4.161;Average;ScalarPlusMultiplier
17;100;=AVERAGE($B$13184:$B$13185);4.161;Average;ScalarPlusMultiplier
18;110;=AVERAGE($B$13185:$B$13186);4.119;Average;ScalarPlusMultiplier
19;90;=AVERAGE($B$13186:$B$13187);4.160;Average;ScalarPlusMultiplier
20;90;=AVERAGE($B$13187:$B$13188);4.202;Average;ScalarPlusMultiplier
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;90;90;4.040;Average;ScalarPlusMultiplier
2;110;=AVERAGE($B$13190:$B$13191);4.000;Average;ScalarPlusMultiplier
3;110;=AVERAGE($B$13191:$B$13192);3.960;Average;ScalarPlusMultiplier
4;90;=AVERAGE($B$13192:$B$13193);3.999;Average;ScalarPlusMultiplier
5;100;=AVERAGE($B$13193:$B$13194);3.999;Average;ScalarPlusMultiplier
6;120;=AVERAGE($B$13194:$B$13195);3.919;Average;ScalarPlusMultiplier
7;100;=AVERAGE($B$13195:$B$13196);3.919;Average;ScalarPlusMultiplier
8;100;=AVERAGE($B$13196:$B$13197);3.919;Average;ScalarPlusMultiplier
9;110;=AVERAGE($B$13197:$B$13198);3.880;Average;ScalarPlusMultiplier
10;100;=AVERAGE($B$13198:$B$13199);3.880;Average;ScalarPlusMultiplier
11;90;=AVERAGE($B$13199:$B$13200);3.919;Average;ScalarPlusMultiplier
12;90;=AVERAGE($B$13200:$B$13201);3.958;Average;ScalarPlusMultiplier
13;100;=AVERAGE($B$13201:$B$13202);3.958;Average;ScalarPlusMultiplier
14;90;=AVERAGE($B$13202:$B$13203);3.998;Average;ScalarPlusMultiplier
15;90;=AVERAGE($B$13203:$B$13204);4.038;Average;ScalarPlusMultiplier
16;110;=AVERAGE($B$13204:$B$13205);3.997;Average;ScalarPlusMultiplier
17;110;=AVERAGE($B$13205:$B$13206);3.957;Average;ScalarPlusMultiplier
18;90;=AVERAGE($B$13206:$B$13207);3.997;Average;ScalarPlusMultiplier
19;100;=AVERAGE($B$13207:$B$13208);3.997;Average;ScalarPlusMultiplier
20;110;=AVERAGE($B$13208:$B$13209);3.957;Average;ScalarPlusMultiplier
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;90;90;4.040;Average;ScalarPlusMultiplier
2;90;=AVERAGE($B$13211:$B$13212);4.080;Average;ScalarPlusMultiplier
3;90;=AVERAGE($B$13212:$B$13213);4.121;Average;ScalarPlusMultiplier
4;80;=AVERAGE($B$13213:$B$13214);4.204;Average;ScalarPlusMultiplier
5;90;=AVERAGE($B$13214:$B$13215);4.246;Average;ScalarPlusMultiplier
6;90;=AVERAGE($B$13215:$B$13216);4.288;Average;ScalarPlusMultiplier
7;110;=AVERAGE($B$13216:$B$13217);4.245;Average;ScalarPlusMultiplier
8;110;=AVERAGE($B$13217:$B$13218);4.203;Average;ScalarPlusMultiplier
9;90;=AVERAGE($B$13218:$B$13219);4.245;Average;ScalarPlusMultiplier
10;100;=AVERAGE($B$13219:$B$13220);4.245;Average;ScalarPlusMultiplier
11;110;=AVERAGE($B$13220:$B$13221);4.202;Average;ScalarPlusMultiplier
12;100;=AVERAGE($B$13221:$B$13222);4.202;Average;ScalarPlusMultiplier
13;110;=AVERAGE($B$13222:$B$13223);4.160;Average;ScalarPlusMultiplier
14;110;=AVERAGE($B$13223:$B$13224);4.119;Average;ScalarPlusMultiplier
15;80;=AVERAGE($B$13224:$B$13225);4.201;Average;ScalarPlusMultiplier
16;90;=AVERAGE($B$13225:$B$13226);4.243;Average;ScalarPlusMultiplier
17;90;=AVERAGE($B$13226:$B$13227);4.286;Average;ScalarPlusMultiplier
18;90;=AVERAGE($B$13227:$B$13228);4.328;Average;ScalarPlusMultiplier
19;90;=AVERAGE($B$13228:$B$13229);4.372;Average;ScalarPlusMultiplier
20;110;=AVERAGE($B$13229:$B$13230);4.328;Average;ScalarPlusMultiplier
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;90;90;4.040;Average;ScalarPlusMultiplier
2;90;=AVERAGE($B$13232:$B$13233);4.080;Average;ScalarPlusMultiplier
3;90;=AVERAGE($B$13233:$B$13234);4.121;Average;ScalarPlusMultiplier
4;90;=AVERAGE($B$13234:$B$13235);4.162;Average;ScalarPlusMultiplier
5;100;=AVERAGE($B$13235:$B$13236);4.162;Average;ScalarPlusMultiplier
6;100;=AVERAGE($B$13236:$B$13237);4.162;Average;ScalarPlusMultiplier
7;90;=AVERAGE($B$13237:$B$13238);4.204;Average;ScalarPlusMultiplier
8;100;=AVERAGE($B$13238:$B$13239);4.204;Average;ScalarPlusMultiplier
9;110;=AVERAGE($B$13239:$B$13240);4.162;Average;ScalarPlusMultiplier
10;90;=AVERAGE($B$13240:$B$13241);4.204;Average;ScalarPlusMultiplier
11;100;=AVERAGE($B$13241:$B$13242);4.204;Average;ScalarPlusMultiplier
12;110;=AVERAGE($B$13242:$B$13243);4.162;Average;ScalarPlusMultiplier
13;100;=AVERAGE($B$13243:$B$13244);4.162;Average;ScalarPlusMultiplier
14;100;=AVERAGE($B$13244:$B$13245);4.162;Average;ScalarPlusMultiplier
15;100;=AVERAGE($B$13245:$B$13246);4.162;Average;ScalarPlusMultiplier
16;90;=AVERAGE($B$13246:$B$13247);4.203;Average;ScalarPlusMultiplier
17;80;=AVERAGE($B$13247:$B$13248);4.287;Average;ScalarPlusMultiplier
18;90;=AVERAGE($B$13248:$B$13249);4.330;Average;ScalarPlusMultiplier
19;100;=AVERAGE($B$13249:$B$13250);4.330;Average;ScalarPlusMultiplier
20;120;=AVERAGE($B$13250:$B$13251);4.244;Average;ScalarPlusMultiplier
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;90;90;4.040;Average;ScalarPlusMultiplier
2;90;=AVERAGE($B$13253:$B$13254);4.080;Average;ScalarPlusMultiplier
3;90;=AVERAGE($B$13254:$B$13255);4.121;Average;ScalarPlusMultiplier
4;100;=AVERAGE($B$13255:$B$13256);4.121;Average;ScalarPlusMultiplier
5;100;=AVERAGE($B$13256:$B$13257);4.121;Average;ScalarPlusMultiplier
6;110;=AVERAGE($B$13257:$B$13258);4.080;Average;ScalarPlusMultiplier
7;90;=AVERAGE($B$13258:$B$13259);4.121;Average;ScalarPlusMultiplier
8;100;=AVERAGE($B$13259:$B$13260);4.121;Average;ScalarPlusMultiplier
9;110;=AVERAGE($B$13260:$B$13261);4.080;Average;ScalarPlusMultiplier
10;110;=AVERAGE($B$13261:$B$13262);4.039;Average;ScalarPlusMultiplier
11;110;=AVERAGE($B$13262:$B$13263);3.998;Average;ScalarPlusMultiplier
12;100;=AVERAGE($B$13263:$B$13264);3.998;Average;ScalarPlusMultiplier
13;100;=AVERAGE($B$13264:$B$13265);3.998;Average;ScalarPlusMultiplier
14;100;=AVERAGE($B$13265:$B$13266);3.998;Average;ScalarPlusMultiplier
15;90;=AVERAGE($B$13266:$B$13267);4.038;Average;ScalarPlusMultiplier
16;110;=AVERAGE($B$13267:$B$13268);3.998;Average;ScalarPlusMultiplier
17;90;=AVERAGE($B$13268:$B$13269);4.038;Average;ScalarPlusMultiplier
18;110;=AVERAGE($B$13269:$B$13270);3.998;Average;ScalarPlusMultiplier
19;100;=AVERAGE($B$13270:$B$13271);3.998;Average;ScalarPlusMultiplier
20;100;=AVERAGE($B$13271:$B$13272);3.998;Average;ScalarPlusMultiplier
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;100;100;4.000;Average;ScalarPlusMultiplier
2;90;=AVERAGE($B$13274:$B$13275);4.040;Average;ScalarPlusMultiplier
3;90;=AVERAGE($B$13275:$B$13276);4.080;Average;ScalarPlusMultiplier
4;90;=AVERAGE($B$13276:$B$13277);4.121;Average;ScalarPlusMultiplier
5;100;=AVERAGE($B$13277:$B$13278);4.121;Average;ScalarPlusMultiplier
6;90;=AVERAGE($B$13278:$B$13279);4.162;Average;ScalarPlusMultiplier
7;90;=AVERAGE($B$13279:$B$13280);4.204;Average;ScalarPlusMultiplier
8;100;=AVERAGE($B$13280:$B$13281);4.204;Average;ScalarPlusMultiplier
9;100;=AVERAGE($B$13281:$B$13282);4.204;Average;ScalarPlusMultiplier
10;90;=AVERAGE($B$13282:$B$13283);4.246;Average;ScalarPlusMultiplier
11;100;=AVERAGE($B$13283:$B$13284);4.246;Average;ScalarPlusMultiplier
12;90;=AVERAGE($B$13284:$B$13285);4.289;Average;ScalarPlusMultiplier
13;100;=AVERAGE($B$13285:$B$13286);4.289;Average;ScalarPlusMultiplier
14;100;=AVERAGE($B$13286:$B$13287);4.289;Average;ScalarPlusMultiplier
15;100;=AVERAGE($B$13287:$B$13288);4.289;Average;ScalarPlusMultiplier
16;110;=AVERAGE($B$13288:$B$13289);4.246;Average;ScalarPlusMultiplier
17;110;=AVERAGE($B$13289:$B$13290);4.203;Average;ScalarPlusMultiplier
18;90;=AVERAGE($B$13290:$B$13291);4.245;Average;ScalarPlusMultiplier
19;120;=AVERAGE($B$13291:$B$13292);4.160;Average;ScalarPlusMultiplier
20;100;=AVERAGE($B$13292:$B$13293);4.160;Average;ScalarPlusMultiplier
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;80;80;4.080;Average;ScalarPlusMultiplier
2;70;=AVERAGE($B$13295:$B$13296);4.264;Average;ScalarPlusMultiplier
3;90;=AVERAGE($B$13296:$B$13297);4.306;Average;ScalarPlusMultiplier
4;100;=AVERAGE($B$13297:$B$13298);4.306;Average;ScalarPlusMultiplier
5;110;=AVERAGE($B$13298:$B$13299);4.263;Average;ScalarPlusMultiplier
6;100;=AVERAGE($B$13299:$B$13300);4.263;Average;ScalarPlusMultiplier
7;100;=AVERAGE($B$13300:$B$13301);4.263;Average;ScalarPlusMultiplier
8;90;=AVERAGE($B$13301:$B$13302);4.306;Average;ScalarPlusMultiplier
9;110;=AVERAGE($B$13302:$B$13303);4.263;Average;ScalarPlusMultiplier
10;100;=AVERAGE($B$13303:$B$13304);4.263;Average;ScalarPlusMultiplier
11;90;=AVERAGE($B$13304:$B$13305);4.305;Average;ScalarPlusMultiplier
12;90;=AVERAGE($B$13305:$B$13306);4.348;Average;ScalarPlusMultiplier
13;100;=AVERAGE($B$13306:$B$13307);4.348;Average;ScalarPlusMultiplier
14;100;=AVERAGE($B$13307:$B$13308);4.348;Average;ScalarPlusMultiplier
15;110;=AVERAGE($B$13308:$B$13309);4.305;Average;ScalarPlusMultiplier
16;100;=AVERAGE($B$13309:$B$13310);4.305;Average;ScalarPlusMultiplier
17;110;=AVERAGE($B$13310:$B$13311);4.262;Average;ScalarPlusMultiplier
18;100;=AVERAGE($B$13311:$B$13312);4.262;Average;ScalarPlusMultiplier
19;100;=AVERAGE($B$13312:$B$13313);4.262;Average;ScalarPlusMultiplier
20;100;=AVERAGE($B$13313:$B$13314);4.262;Average;ScalarPlusMultiplier
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;90;90;4.040;Average;ScalarPlusMultiplier
2;80;=AVERAGE($B$13316:$B$13317);4.121;Average;ScalarPlusMultiplier
3;110;=AVERAGE($B$13317:$B$13318);4.080;Average;ScalarPlusMultiplier
4;110;=AVERAGE($B$13318:$B$13319);4.039;Average;ScalarPlusMultiplier
5;100;=AVERAGE($B$13319:$B$13320);4.039;Average;ScalarPlusMultiplier
6;110;=AVERAGE($B$13320:$B$13321);3.998;Average;ScalarPlusMultiplier
7;90;=AVERAGE($B$13321:$B$13322);4.038;Average;ScalarPlusMultiplier
8;90;=AVERAGE($B$13322:$B$13323);4.079;Average;ScalarPlusMultiplier
9;110;=AVERAGE($B$13323:$B$13324);4.038;Average;ScalarPlusMultiplier
10;100;=AVERAGE($B$13324:$B$13325);4.038;Average;ScalarPlusMultiplier
11;100;=AVERAGE($B$13325:$B$13326);4.038;Average;ScalarPlusMultiplier
12;110;=AVERAGE($B$13326:$B$13327);3.998;Average;ScalarPlusMultiplier
