Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
19;40;=AVERAGE($B$166:$B$167);4.000;Awful;NoScaling
20;20;=AVERAGE($B$167:$B$168);4.000;Awful;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;20;20;4.000;Awful;NoScaling
2;20;=AVERAGE($B$170:$B$171);4.000;Awful;NoScaling
3;40;=AVERAGE($B$171:$B$172);4.000;Awful;NoScaling
4;30;=AVERAGE($B$172:$B$173);4.000;Awful;NoScaling
5;10;=AVERAGE($B$173:$B$174);4.000;Awful;NoScaling
6;20;=AVERAGE($B$174:$B$175);4.000;Awful;NoScaling
7;20;=AVERAGE($B$175:$B$176);4.000;Awful;NoScaling
8;10;=AVERAGE($B$176:$B$177);4.000;Awful;NoScaling
9;30;=AVERAGE($B$177:$B$178);4.000;Awful;NoScaling
10;20;=AVERAGE($B$178:$B$179);4.000;Awful;NoScaling
11;30;=AVERAGE($B$179:$B$180);4.000;Awful;NoScaling
12;20;=AVERAGE($B$180:$B$181);4.000;Awful;NoScaling
13;40;=AVERAGE($B$181:$B$182);4.000;Awful;NoScaling
14;20;=AVERAGE($B$182:$B$183);4.000;Awful;NoScaling
15;30;=AVERAGE($B$183:$B$184);4.000;Awful;NoScaling
16;40;=AVERAGE($B$184:$B$185);4.000;Awful;NoScaling
17;60;=AVERAGE($B$185:$B$186);4.000;Awful;NoScaling
18;40;=AVERAGE($B$186:$B$187);4.000;Awful;NoScaling
19;30;=AVERAGE($B$187:$B$188);4.000;Awful;NoScaling
20;20;=AVERAGE($B$188:$B$189);4.000;Awful;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;0;0;4.000;Awful;NoScaling
2;10;=AVERAGE($B$191:$B$192);4.000;Awful;NoScaling
3;20;=AVERAGE($B$192:$B$193);4.000;Awful;NoScaling
4;20;=AVERAGE($B$193:$B$194);4.000;Awful;NoScaling
5;30;=AVERAGE($B$194:$B$195);4.000;Awful;NoScaling
6;20;=AVERAGE($B$195:$B$196);4.000;Awful;NoScaling
7;40;=AVERAGE($B$196:$B$197);4.000;Awful;NoScaling
8;30;=AVERAGE($B$197:$B$198);4.000;Awful;NoScaling
9;20;=AVERAGE($B$198:$B$199);4.000;Awful;NoScaling
10;40;=AVERAGE($B$199:$B$200);4.000;Awful;NoScaling
11;40;=AVERAGE($B$200:$B$201);4.000;Awful;NoScaling
12;30;=AVERAGE($B$201:$B$202);4.000;Awful;NoScaling
13;0;=AVERAGE($B$202:$B$203);4.000;Awful;NoScaling
14;50;=AVERAGE($B$203:$B$204);4.000;Awful;NoScaling
15;40;=AVERAGE($B$204:$B$205);4.000;Awful;NoScaling
16;20;=AVERAGE($B$205:$B$206);4.000;Awful;NoScaling
17;10;=AVERAGE($B$206:$B$207);4.000;Awful;NoScaling
18;20;=AVERAGE($B$207:$B$208);4.000;Awful;NoScaling
19;40;=AVERAGE($B$208:$B$209);4.000;Awful;NoScaling
20;20;=AVERAGE($B$209:$B$210);4.000;Awful;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;10;10;4.000;Awful;NoScaling
2;10;=AVERAGE($B$212:$B$213);4.000;Awful;NoScaling
3;0;=AVERAGE($B$213:$B$214);4.000;Awful;NoScaling
4;20;=AVERAGE($B$214:$B$215);4.000;Awful;NoScaling
5;0;=AVERAGE($B$215:$B$216);4.000;Awful;NoScaling
6;40;=AVERAGE($B$216:$B$217);4.000;Awful;NoScaling
7;20;=AVERAGE($B$217:$B$218);4.000;Awful;NoScaling
8;30;=AVERAGE($B$218:$B$219);4.000;Awful;NoScaling
9;10;=AVERAGE($B$219:$B$220);4.000;Awful;NoScaling
10;10;=AVERAGE($B$220:$B$221);4.000;Awful;NoScaling
11;30;=AVERAGE($B$221:$B$222);4.000;Awful;NoScaling
12;40;=AVERAGE($B$222:$B$223);4.000;Awful;NoScaling
13;10;=AVERAGE($B$223:$B$224);4.000;Awful;NoScaling
14;10;=AVERAGE($B$224:$B$225);4.000;Awful;NoScaling
15;0;=AVERAGE($B$225:$B$226);4.000;Awful;NoScaling
16;50;=AVERAGE($B$226:$B$227);4.000;Awful;NoScaling
17;20;=AVERAGE($B$227:$B$228);4.000;Awful;NoScaling
18;20;=AVERAGE($B$228:$B$229);4.000;Awful;NoScaling
19;30;=AVERAGE($B$229:$B$230);4.000;Awful;NoScaling
20;0;=AVERAGE($B$230:$B$231);4.000;Awful;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;0;0;4.000;Awful;NoScaling
2;20;=AVERAGE($B$233:$B$234);4.000;Awful;NoScaling
3;20;=AVERAGE($B$234:$B$235);4.000;Awful;NoScaling
4;0;=AVERAGE($B$235:$B$236);4.000;Awful;NoScaling
5;20;=AVERAGE($B$236:$B$237);4.000;Awful;NoScaling
6;30;=AVERAGE($B$237:$B$238);4.000;Awful;NoScaling
7;30;=AVERAGE($B$238:$B$239);4.000;Awful;NoScaling
8;10;=AVERAGE($B$239:$B$240);4.000;Awful;NoScaling
9;10;=AVERAGE($B$240:$B$241);4.000;Awful;NoScaling
10;10;=AVERAGE($B$241:$B$242);4.000;Awful;NoScaling
11;20;=AVERAGE($B$242:$B$243);4.000;Awful;NoScaling
12;10;=AVERAGE($B$243:$B$244);4.000;Awful;NoScaling
13;20;=AVERAGE($B$244:$B$245);4.000;Awful;NoScaling
14;40;=AVERAGE($B$245:$B$246);4.000;Awful;NoScaling
15;20;=AVERAGE($B$246:$B$247);4.000;Awful;NoScaling
16;20;=AVERAGE($B$247:$B$248);4.000;Awful;NoScaling
17;10;=AVERAGE($B$248:$B$249);4.000;Awful;NoScaling
18;10;=AVERAGE($B$249:$B$250);4.000;Awful;NoScaling
19;20;=AVERAGE($B$250:$B$251);4.000;Awful;NoScaling
20;30;=AVERAGE($B$251:$B$252);4.000;Awful;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;20;20;4.000;Awful;NoScaling
2;0;=AVERAGE($B$254:$B$255);4.000;Awful;NoScaling
3;30;=AVERAGE($B$255:$B$256);4.000;Awful;NoScaling
4;30;=AVERAGE($B$256:$B$257);4.000;Awful;NoScaling
5;20;=AVERAGE($B$257:$B$258);4.000;Awful;NoScaling
6;50;=AVERAGE($B$258:$B$259);4.000;Awful;NoScaling
7;20;=AVERAGE($B$259:$B$260);4.000;Awful;NoScaling
8;0;=AVERAGE($B$260:$B$261);4.000;Awful;NoScaling
9;30;=AVERAGE($B$261:$B$262);4.000;Awful;NoScaling
10;10;=AVERAGE($B$262:$B$263);4.000;Awful;NoScaling
11;20;=AVERAGE($B$263:$B$264);4.000;Awful;NoScaling
12;40;=AVERAGE($B$264:$B$265);4.000;Awful;NoScaling
13;20;=AVERAGE($B$265:$B$266);4.000;Awful;NoScaling
14;20;=AVERAGE($B$266:$B$267);4.000;Awful;NoScaling
15;10;=AVERAGE($B$267:$B$268);4.000;Awful;NoScaling
16;30;=AVERAGE($B$268:$B$269);4.000;Awful;NoScaling
17;20;=AVERAGE($B$269:$B$270);4.000;Awful;NoScaling
18;30;=AVERAGE($B$270:$B$271);4.000;Awful;NoScaling
19;20;=AVERAGE($B$271:$B$272);4.000;Awful;NoScaling
20;30;=AVERAGE($B$272:$B$273);4.000;Awful;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;10;10;4.000;Awful;NoScaling
2;20;=AVERAGE($B$275:$B$276);4.000;Awful;NoScaling
3;30;=AVERAGE($B$276:$B$277);4.000;Awful;NoScaling
4;20;=AVERAGE($B$277:$B$278);4.000;Awful;NoScaling
5;30;=AVERAGE($B$278:$B$279);4.000;Awful;NoScaling
6;10;=AVERAGE($B$279:$B$280);4.000;Awful;NoScaling
7;10;=AVERAGE($B$280:$B$281);4.000;Awful;NoScaling
8;40;=AVERAGE($B$281:$B$282);4.000;Awful;NoScaling
9;0;=AVERAGE($B$282:$B$283);4.000;Awful;NoScaling
10;40;=AVERAGE($B$283:$B$284);4.000;Awful;NoScaling
11;20;=AVERAGE($B$284:$B$285);4.000;Awful;NoScaling
12;30;=AVERAGE($B$285:$B$286);4.000;Awful;NoScaling
13;30;=AVERAGE($B$286:$B$287);4.000;Awful;NoScaling
14;30;=AVERAGE($B$287:$B$288);4.000;Awful;NoScaling
15;10;=AVERAGE($B$288:$B$289);4.000;Awful;NoScaling
16;30;=AVERAGE($B$289:$B$290);4.000;Awful;NoScaling
17;30;=AVERAGE($B$290:$B$291);4.000;Awful;NoScaling
18;20;=AVERAGE($B$291:$B$292);4.000;Awful;NoScaling
19;10;=AVERAGE($B$292:$B$293);4.000;Awful;NoScaling
20;20;=AVERAGE($B$293:$B$294);4.000;Awful;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;10;10;4.000;Awful;NoScaling
2;30;=AVERAGE($B$296:$B$297);4.000;Awful;NoScaling
3;10;=AVERAGE($B$297:$B$298);4.000;Awful;NoScaling
4;30;=AVERAGE($B$298:$B$299);4.000;Awful;NoScaling
5;20;=AVERAGE($B$299:$B$300);4.000;Awful;NoScaling
6;10;=AVERAGE($B$300:$B$301);4.000;Awful;NoScaling
7;30;=AVERAGE($B$301:$B$302);4.000;Awful;NoScaling
8;10;=AVERAGE($B$302:$B$303);4.000;Awful;NoScaling
9;20;=AVERAGE($B$303:$B$304);4.000;Awful;NoScaling
10;20;=AVERAGE($B$304:$B$305);4.000;Awful;NoScaling
11;30;=AVERAGE($B$305:$B$306);4.000;Awful;NoScaling
12;10;=AVERAGE($B$306:$B$307);4.000;Awful;NoScaling
13;40;=AVERAGE($B$307:$B$308);4.000;Awful;NoScaling
14;10;=AVERAGE($B$308:$B$309);4.000;Awful;NoScaling
15;20;=AVERAGE($B$309:$B$310);4.000;Awful;NoScaling
16;20;=AVERAGE($B$310:$B$311);4.000;Awful;NoScaling
17;40;=AVERAGE($B$311:$B$312);4.000;Awful;NoScaling
18;40;=AVERAGE($B$312:$B$313);4.000;Awful;NoScaling
19;30;=AVERAGE($B$313:$B$314);4.000;Awful;NoScaling
20;20;=AVERAGE($B$314:$B$315);4.000;Awful;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;0;0;4.000;Awful;NoScaling
2;10;=AVERAGE($B$317:$B$318);4.000;Awful;NoScaling
3;10;=AVERAGE($B$318:$B$319);4.000;Awful;NoScaling
4;10;=AVERAGE($B$319:$B$320);4.000;Awful;NoScaling
5;30;=AVERAGE($B$320:$B$321);4.000;Awful;NoScaling
6;20;=AVERAGE($B$321:$B$322);4.000;Awful;NoScaling
7;30;=AVERAGE($B$322:$B$323);4.000;Awful;NoScaling
8;30;=AVERAGE($B$323:$B$324);4.000;Awful;NoScaling
9;10;=AVERAGE($B$324:$B$325);4.000;Awful;NoScaling
10;20;=AVERAGE($B$325:$B$326);4.000;Awful;NoScaling
11;10;=AVERAGE($B$326:$B$327);4.000;Awful;NoScaling
12;10;=AVERAGE($B$327:$B$328);4.000;Awful;NoScaling
13;20;=AVERAGE($B$328:$B$329);4.000;Awful;NoScaling
14;30;=AVERAGE($B$329:$B$330);4.000;Awful;NoScaling
15;20;=AVERAGE($B$330:$B$331);4.000;Awful;NoScaling
16;40;=AVERAGE($B$331:$B$332);4.000;Awful;NoScaling
17;10;=AVERAGE($B$332:$B$333);4.000;Awful;NoScaling
18;30;=AVERAGE($B$333:$B$334);4.000;Awful;NoScaling
19;30;=AVERAGE($B$334:$B$335);4.000;Awful;NoScaling
20;30;=AVERAGE($B$335:$B$336);4.000;Awful;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;20;20;4.000;Awful;NoScaling
2;30;=AVERAGE($B$338:$B$339);4.000;Awful;NoScaling
3;0;=AVERAGE($B$339:$B$340);4.000;Awful;NoScaling
4;20;=AVERAGE($B$340:$B$341);4.000;Awful;NoScaling
